nominal 0.15 0 2 2.817402 2.255224
nominal 0.15 0 3 5.324746 2.136611
nominal 0.15 0 12 9.615632 1.206285
nominal 0.15 0 19 19.886959 1.583110
nominal 0.15 0 52 54.774767 5.044291
nominal 0.15 0 153 148.900883 9.673173
nominal 0.15 0.15 2 2.510875 2.144359
nominal 0.15 0.15 3 4.887274 2.062107
nominal 0.15 0.15 12 8.636352 1.194464
nominal 0.15 0.15 19 18.277159 1.561014
nominal 0.15 0.15 52 49.691570 5.024457
nominal 0.15 0.15 153 138.407582 9.472560
0.15 1.487864e-11 0.126194 1.412881 3.601252
nominal 0.18 0 2 2.817402 2.706268
nominal 0.18 0 3 5.324746 2.563934
nominal 0.18 0 12 9.615632 1.447542
nominal 0.18 0 19 19.886959 1.899733
nominal 0.18 0 52 54.774767 6.053149
nominal 0.18 0 153 148.900883 11.607807
nominal 0.18 0.18 2 2.463082 2.544352
nominal 0.18 0.18 3 4.801553 2.455615
nominal 0.18 0.18 12 8.450417 1.428900
nominal 0.18 0.18 19 17.966248 1.866967
nominal 0.18 0.18 52 48.732734 6.024722
nominal 0.18 0.18 153 136.397994 11.311123
0.18 1.487864e-11 0.129442 1.933738 4.464330
nominal 0.20 0 2 2.817402 3.006965
nominal 0.20 0 3 5.324746 2.848815
nominal 0.20 0 12 9.615632 1.608380
nominal 0.20 0 19 19.886959 2.110814
nominal 0.20 0 52 54.774767 6.725722
nominal 0.20 0 153 148.900883 12.897563
nominal 0.20 0.20 2 2.432852 2.805968
nominal 0.20 0.20 3 4.744569 2.714732
nominal 0.20 0.20 12 8.328546 1.583905
nominal 0.20 0.20 19 17.754998 2.069539
nominal 0.20 0.20 52 48.097150 6.690958
nominal 0.20 0.20 153 135.068834 12.526657
0.20 1.487864e-11 0.131589 2.310062 5.056099
nominal 0.22 0 2 2.817402 3.307661
nominal 0.22 0 3 5.324746 3.133697
nominal 0.22 0 12 9.615632 1.769218
nominal 0.22 0 19 19.886959 2.321895
nominal 0.22 0 52 54.774767 7.398294
nominal 0.22 0 153 148.900883 14.187320
nominal 0.22 0.22 2 2.403204 3.063037
nominal 0.22 0.22 3 4.687542 2.970930
nominal 0.22 0.22 12 8.208676 1.737683
nominal 0.22 0.22 19 17.548505 2.270977
nominal 0.22 0.22 52 47.470971 7.356322
nominal 0.22 0.22 153 133.747917 13.733667
0.22 1.487864e-11 0.133718 2.706847 5.659216
nominal 0.25 0 2 2.817402 3.758706
nominal 0.25 0 3 5.324746 3.561019
nominal 0.25 0 12 9.615632 2.010475
nominal 0.25 0 19 19.886959 2.638517
nominal 0.25 0 52 54.774767 8.407152
nominal 0.25 0 153 148.900883 16.121954
nominal 0.25 0.25 2 2.360330 3.440473
nominal 0.25 0.25 3 4.601994 3.349936
nominal 0.25 0.25 12 8.032717 1.965829
nominal 0.25 0.25 19 17.244832 2.570987
nominal 0.25 0.25 52 46.546229 8.353523
nominal 0.25 0.25 153 131.770756 15.527916
0.25 1.487864e-11 0.136878 3.335902 6.582419
nominal 0.30 0 2 2.817402 4.510447
nominal 0.30 0 3 5.324746 4.273223
nominal 0.30 0 12 9.615632 2.412570
nominal 0.30 0 19 19.886959 3.166221
nominal 0.30 0 52 54.774767 10.088582
nominal 0.30 0 153 148.900883 19.346345
nominal 0.30 0.30 2 2.291209 4.047013
nominal 0.30 0.30 3 4.459366 3.967253
nominal 0.30 0.30 12 7.746804 2.337830
nominal 0.30 0.30 19 16.740809 3.064116
nominal 0.30 0.30 52 45.021814 10.009267
nominal 0.30 0.30 153 128.555327 18.475726
0.30 1.487864e-11 0.142049 4.460335 8.161934
nominal 0.35 0 2 2.817402 5.262188
nominal 0.35 0 3 5.324746 4.985427
nominal 0.35 0 12 9.615632 2.814665
nominal 0.35 0 19 19.886959 3.693924
nominal 0.35 0 52 54.774767 11.770013
nominal 0.35 0 153 148.900883 22.570736
nominal 0.35 0.35 2 2.225976 4.628245
nominal 0.35 0.35 3 4.317222 4.568246
nominal 0.35 0.35 12 7.479816 2.697766
nominal 0.35 0.35 19 16.250883 3.547023
nominal 0.35 0.35 52 43.554732 11.658168
nominal 0.35 0.35 153 125.366288 21.372232
0.35 1.487864e-11 0.147104 5.660918 9.781547
